Postcode,Apr 2011 - Mar 2012,Apr 2012 - Mar 2013,Apr 2013 - Mar 2014,Apr 2014 - Mar 2015,Apr 2015 - Mar 2016,% change 2015 - 2016
3147,545,659,860,825,1141,0.383030303
3148,740,832,961,1207,1151,-0.046396023
3149,1005,1604,1001,1076,1252,0.163568773
3150,1862,1890,2024,2172,2428,0.11786372
3151,320,375,400,436,508,0.165137615
3152,1778,1964,2452,2139,2407,0.125292193
3153,1751,1672,1853,1982,2032,0.025227043
3154,156,164,131,160,191,0.19375
3155,1520,1665,1500,1758,1759,0.000568828
3156,1793,1727,2015,1884,2086,0.107218684
3158,293,265,273,332,243,-0.268072289
3159,70,52,95,56,63,0.125
3160,429,484,569,443,501,0.130925508
3161,578,611,550,561,663,0.181818182
3162,894,806,837,750,1015,0.353333333
3163,1064,1123,1332,1339,1635,0.221060493
3165,705,759,893,786,984,0.251908397
3166,1349,1439,1906,1553,1943,0.251126851
3167,343,475,510,401,464,0.157107232
3168,1513,1730,1834,1365,1834,0.343589744
3169,708,765,1031,997,936,-0.061183551
3170,799,1002,1122,1662,2552,0.535499398
3171,1770,2021,1862,1882,2149,0.141870351
3172,738,846,980,854,1115,0.305620609
3173,1242,1237,1262,1388,1516,0.09221902
3174,2420,2530,2806,2940,3451,0.173809524
3175,8106,8729,9604,9296,12512,0.34595525
3177,893,1105,1372,1316,1604,0.218844985
3178,1136,1211,1656,1556,1771,0.138174807
3179,277,298,521,488,442,-0.094262295
3180,352,393,520,413,382,-0.075060533
3181,3150,2748,3547,3523,3540,0.004825433
3182,4280,4373,4637,4824,5229,0.083955224
3183,928,994,1196,1011,1308,0.293768546
3184,748,768,859,1125,1150,0.022222222
3185,828,919,818,698,735,0.053008596
3186,1031,1141,1175,1385,1331,-0.03898917
3187,427,531,466,507,504,-0.00591716
3188,818,884,993,953,1026,0.07660021
3189,988,1287,1057,1232,1245,0.010551948
3190,653,754,786,723,1041,0.439834025
3191,735,430,551,474,645,0.360759494
3192,1711,1745,1914,1670,2128,0.274251497
3193,526,469,473,453,567,0.251655629
3194,679,765,802,838,1006,0.200477327
3195,1925,1881,1934,1807,2423,0.340896514
3196,1166,1176,1386,1313,1506,0.146991622
3197,684,595,778,822,1024,0.245742092
3198,1659,1721,1832,1943,2058,0.059186824
3199,7100,7888,9344,8746,8650,-0.010976446
3200,620,781,893,826,1023,0.238498789
