SUBURB,Oct - Dec 14,Jan - Mar 15,Apr - Jun 15,Jul - Sep 15,Oct - Dec 15,No of sales Oct - Dec 15,No of Sales 2015,Oct - Dec 14 - Oct - Dec 15,Jul - Sep 15 - Oct - Dec 15
DERRIMUT,420000,423300,451000,490000,508500,36,137,21.1,3.8
DIAMOND CREEK,545000,545000,535800,610000,602000,39,201,10.5,-1.3
DIGGERS REST,503800,325000,336500,329300,312000,6,34,-38.1,-5.2
DIMBOOLA,99000,98000,113500,109500,117500,8,44,18.7,7.3
DINGLEY VILLAGE,686000,677000,707500,690000,682300,38,137,-0.5,-1.1
DINNER PLAIN,425000,375000,356000,345000,365000,1,16,-14.1,5.8
DONALD,95000,145000,148800,97500,96000,7,21,1.1,-1.5
DONCASTER,1060000,1110900,1296000,1308000,1256000,67,352,18.5,-4
DONCASTER EAST,904500,970000,1100000,1190500,1135000,93,397,25.5,-4.7
DONVALE,877000,934000,1050000,986500,930000,13,94,6,-5.7
DOREEN,445000,433500,435000,450000,458000,111,445,2.9,1.8
DOVETON,306000,329300,345000,350000,375000,40,200,22.5,7.1
DROMANA,540000,465000,550000,622500,576500,56,213,6.8,-7.4
DROUIN,310800,330000,309000,320000,335000,63,286,7.8,4.7
DRUMCONDRA,757000,745000,760000,725000,1010000,2,7,33.4,39.3
DRYSDALE,432000,414000,357500,457500,438000,14,56,1.4,-4.3
DUNKELD,172500,172500,85000,183500,195000,9,12,13,6.3
DUNOLLY,212000,153500,163000,189000,172500,4,14,-18.6,-8.7
EAGLE POINT,230000,214000,332000,462000,245000,1,15,6.5,-47
EAGLEHAWK,270000,285000,284000,280000,283500,25,95,5,1.3
EAGLEMONT,1637500,1416500,1520000,1805000,1750000,15,52,6.9,-3
EAST BAIRNSDALE,187500,166800,206000,178500,222500,6,25,18.7,24.6
EAST BENDIGO,360000,342500,298000,258500,350000,7,36,-2.8,35.4
EAST GEELONG,400000,420000,400000,488000,432000,15,77,8,-11.5
EAST MELBOURNE,1750000,2750000,1860000,2761900,2200000,7,18,25.7,-20.3
EAST WARBURTON,275000,280000,260000,342500,355000,8,19,29.1,3.6
EASTWOOD,345000,341000,320000,335000,335000,15,44,-2.9,0
ECHUCA,307500,292500,297500,300000,305000,63,214,-0.8,1.7
EDENHOPE,102500,90000,107500,100000,115000,3,15,12.2,15
EDITHVALE,656500,715000,704500,702000,835000,33,79,27.2,18.9
EILDON,162500,200000,210000,209000,220000,7,28,35.4,5.3
ELLIMINYT,285000,318800,335000,291500,270000,9,34,-5.3,-7.4
ELMORE,232000,280000,241000,148300,148300,0,11,NA,NA
ELSTERNWICK,1260000,1370000,1705000,1506000,1410000,31,86,11.9,-6.4
ELTHAM,676300,698500,720000,775000,795000,61,249,17.6,2.6
ELTHAM NORTH,722500,710000,735000,765000,810000,16,82,12.1,5.9
ELWOOD,1575000,1500000,1631000,1565000,1703800,46,147,8.2,8.9
EMERALD,449500,509800,487000,487500,517500,20,84,15.1,6.2
ENDEAVOUR HILLS,460000,460000,479500,522500,520000,91,374,13,-0.5
EPPING,391000,388500,385000,417000,405000,107,445,3.6,-2.9
